city_id,city_x,city_y,text_crop_filename,distance_from_city,transcribed_name
0,11177,2275,city0000_region0,21.0,
1,10297,4734,city0001_region0,15.0,
2,5680,3687,city0002_region0,15.1,
3,7406,4794,city0003_region0,1.0,
4,7272,3978,city0004_region0,12.7,
5,9850,980,city0005_region0,9.5,
6,6204,3881,city0006_region0,7.8,
7,5975,3798,city0007_region0,18.4,
8,10200,2092,city0008_region0,18.8,
9,5703,3944,city0009_region0,14.3,
10,6028,4880,city0010_region0,9.0,
11,9768,757,city0011_region0,21.8,
12,7984,4468,city0012_region0,5.0,
13,11234,1836,city0013_region0,9.2,
14,1553,943,city0014_region0,4.1,
15,9024,5144,city0015_region0,12.7,
16,7747,4199,city0016_region0,21.2,
17,9794,4689,city0017_region0,9.4,
18,11705,2333,city0018_region0,18.4,
19,7915,4840,city0019_region0,13.5,
20,11352,5281,city0020_region0,16.6,
21,9817,1669,city0021_region0,38.8,
22,5903,3851,city0022_region0,14.3,
23,7632,3826,city0023_region0,7.1,
24,5618,4052,city0024_region0,9.2,
25,11861,5588,city0025_region0,9.5,
26,10413,2534,city0026_region0,10.4,
27,7896,4510,city0027_region0,8.5,
28,5962,3916,city0028_region0,5.0,
29,7051,3953,city0029_region0,14.1,
30,10029,4701,city0030_region0,21.0,
31,8974,4581,city0031_region0,15.3,
32,9453,874,city0032_region0,17.0,
33,5673,5182,city0033_region0,17.2,
34,10961,5420,city0034_region0,30.4,
35,12104,2383,city0035_region0,15.3,
36,7139,4780,city0036_region0,9.5,
37,11158,3954,city0037_region0,6.0,
38,5279,3306,city0038_region0,13.4,
39,6336,3875,city0039_region0,0.0,
40,10546,1571,city0040_region0,6.4,
41,6632,4870,city0041_region0,16.6,
42,7179,4386,city0042_region0,7.1,
43,5542,3694,city0043_region0,14.9,
44,10128,2040,city0044_region0,1.4,
45,6942,3723,city0045_region0,10.0,
46,10009,3860,city0046_region0,6.0,
47,11167,4216,city0047_region0,13.5,
48,7965,5023,city0048_region0,1.0,
49,10207,3382,city0049_region0,18.4,
50,11060,2349,city0050_region0,11.2,
51,5515,3363,city0051_region0,17.5,
52,11072,4100,city0052_region0,13.6,
53,8049,4429,city0053_region0,6.4,
54,11251,2243,city0054_region0,8.5,
55,11270,3962,city0055_region0,10.3,
56,6116,3651,city0056_region0,0.0,
57,11781,3181,city0057_region0,20.6,
58,11258,5176,city0058_region0,15.6,
59,10086,2306,city0059_region0,5.1,
60,6648,3231,city0060_region0,28.2,
61,10527,4629,city0061_region0,1.0,
62,7935,4399,city0062_region0,15.8,
63,9749,3848,city0063_region0,30.1,
64,12581,775,city0064_region0,16.6,
65,10551,3945,city0065_region0,7.6,
66,7575,4869,city0066_region0,15.0,
67,10665,4744,city0067_region0,17.9,
68,10771,1568,city0068_region0,18.4,
69,9375,5026,city0069_region0,13.6,
70,10925,4410,city0070_region0,10.6,
71,6798,3937,city0071_region0,18.4,
72,1915,2125,city0072_region0,7.2,
73,9594,4772,city0073_region0,11.4,
74,10384,4705,city0074_region0,14.1,
75,6690,4794,city0075_region0,8.9,
76,11290,4090,city0076_region0,11.4,
77,7660,4884,city0077_region0,17.7,
