city_id,city_x,city_y,text_region_filename,distance_from_city,transcribed_text,confidence,notes
0,11177,2275,city0000_region0,21.0,,,
0,11177,2275,city0000_region1,29.2,,,
0,11177,2275,city0000_region2,41.8,,,
1,10297,4734,city0001_region0,15.0,,,
1,10297,4734,city0001_region1,31.1,,,
1,10297,4734,city0001_region2,74.7,,,
2,5680,3687,city0002_region0,15.1,,,
2,5680,3687,city0002_region1,43.4,,,
2,5680,3687,city0002_region2,73.9,,,
3,7406,4794,city0003_region0,1.0,,,
3,7406,4794,city0003_region1,28.6,,,
3,7406,4794,city0003_region2,67.2,,,
4,7272,3978,city0004_region0,12.7,,,
4,7272,3978,city0004_region1,31.8,,,
4,7272,3978,city0004_region2,67.5,,,
5,9850,980,city0005_region0,9.5,,,
5,9850,980,city0005_region1,38.0,,,
5,9850,980,city0005_region2,50.7,,,
6,6204,3881,city0006_region0,7.8,,,
6,6204,3881,city0006_region1,58.7,,,
6,6204,3881,city0006_region2,66.2,,,
7,5975,3798,city0007_region0,18.4,,,
7,5975,3798,city0007_region1,70.0,,,
7,5975,3798,city0007_region2,74.7,,,
8,10200,2092,city0008_region0,18.8,,,
8,10200,2092,city0008_region1,27.3,,,
8,10200,2092,city0008_region2,84.9,,,
9,5703,3944,city0009_region0,14.3,,,
9,5703,3944,city0009_region1,18.4,,,
9,5703,3944,city0009_region2,61.3,,,
10,6028,4880,city0010_region0,9.0,,,
10,6028,4880,city0010_region1,13.9,,,
10,6028,4880,city0010_region2,79.8,,,
11,9768,757,city0011_region0,21.8,,,
11,9768,757,city0011_region1,21.9,,,
11,9768,757,city0011_region2,55.2,,,
12,7984,4468,city0012_region0,5.0,,,
12,7984,4468,city0012_region1,51.0,,,
12,7984,4468,city0012_region2,61.8,,,
13,11234,1836,city0013_region0,9.2,,,
13,11234,1836,city0013_region1,70.0,,,
13,11234,1836,city0013_region2,82.2,,,
14,1553,943,city0014_region0,4.1,,,
14,1553,943,city0014_region1,24.2,,,
14,1553,943,city0014_region2,60.2,,,
15,9024,5144,city0015_region0,12.7,,,
15,9024,5144,city0015_region1,48.2,,,
15,9024,5144,city0015_region2,49.2,,,
16,7747,4199,city0016_region0,21.2,,,
16,7747,4199,city0016_region1,41.0,,,
16,7747,4199,city0016_region2,43.3,,,
17,9794,4689,city0017_region0,9.4,,,
17,9794,4689,city0017_region1,80.7,,,
17,9794,4689,city0017_region2,87.3,,,
18,11705,2333,city0018_region0,18.4,,,
18,11705,2333,city0018_region1,31.1,,,
18,11705,2333,city0018_region2,70.8,,,
19,7915,4840,city0019_region0,13.5,,,
19,7915,4840,city0019_region1,21.8,,,
19,7915,4840,city0019_region2,86.8,,,
20,11352,5281,city0020_region0,16.6,,,
20,11352,5281,city0020_region1,59.5,,,
20,11352,5281,city0020_region2,85.1,,,
21,9817,1669,city0021_region0,38.8,,,
21,9817,1669,city0021_region1,76.8,,,
21,9817,1669,city0021_region2,83.7,,,
22,5903,3851,city0022_region0,14.3,,,
22,5903,3851,city0022_region1,40.0,,,
22,5903,3851,city0022_region2,57.8,,,
23,7632,3826,city0023_region0,7.1,,,
23,7632,3826,city0023_region1,84.2,,,
23,7632,3826,city0023_region2,86.8,,,
